pn_id,usma_grad_yr,ma100,ma103,ma104,ma153,ma205,ma255,ma206,core_avg,cqpa,ccps,timeframe
C35321931,2019,,0.9455,0.93466666,,0.9328,,0.912,0.93124166,3.619,3.23930311,17-2
C04257946,2019,,0.867005,0.85790333,,,,0.82502,0.84997611,3.255,2.98191142,17-2
C24883503,2019,,0.82544,0.88724489,,0.8865,,0.87494,0.86853122,3.184,2.90918732,17-2
C82495950,2019,,0.90635,0.968,,0.9133,,0.9068,0.9236125,3.54,3.069139,17-2
C06802613,2019,,0.70117,0.78176666,,0.8465,,0.70683,0.75906666,2.141,2.02647972,17-2
C02780509,2019,,0.801335,0.69666666,,,,0.727,0.74166722,2.202,2.20612526,17-2
C72803444,2019,,0.9315,0.96828666,,,,0.9255,0.94176222,3.609,3.1144588,17-2
C51140692,2019,,0.908435,0.9235,,0.9071,,0.921,0.91500875,3.596,3.37116981,17-2
C28665723,2019,,0.828475,0.86133333,,,,0.80075,0.83018611,3.138,2.69410062,17-2
C88917356,2019,,0.850305,0.734,,,,0.7072,0.763835,2.595,2.72221112,17-2
C44674806,2019,,0.93642,0.95266666,,0.8664,,0.84804,0.90088166,3.151,2.99495602,17-2
C10890187,2019,,0.725,0.7189,,,,0.80708,0.75032666,2.381,2.53995752,17-2
C97978999,2019,,0.91236,0.89079,,0.84796,,0.76413,0.85381,3.232,2.92886066,17-2
C95259902,2019,,,,0.88825,,0.91911341,0.86574,0.89103447,3.421,2.69756937,17-2
C96896705,2019,,,,0.89919,,0.97479747,0.98997,0.95465249,3.663,3.15847516,17-2
C42100310,2018,,0.86789473,0.97066666,,0.854975,,0.8774,0.89273409,3.229,2.66075444,17-2
C23768229,2019,,0.96075,0.97966666,,0.9475,,0.959,0.96172916,3.729,3.27209163,17-2
C11710000,2019,,0.720885,0.7308,,,,0.683,0.71156166,2.142,2.47131968,17-2
C02204147,2019,,0.919995,0.93475,,,,0.917,0.923915,3.228,3.08075142,17-2
C33163820,2019,,0.7552,0.7145,,,,0.852,0.7739,2.888,2.90540123,17-2
C91701181,2019,,0.8315,0.83316666,,0.859,,0.87897,0.85065916,2.926,2.580163,17-2
C26582797,2019,,0.954,0.9715,,0.98685714,,0.971,0.97083928,3.907,3.52067327,17-2
C74610969,2019,,0.87823,0.93313666,,0.8839,,0.81825,0.87837916,2.906,2.83945012,17-2
C89627332,2019,,0.729,0.68646333,,,,0.7155,0.71032111,2.008,2.08098984,17-2
C54299546,2019,,0.93393,0.96233333,,0.9752,,0.96272,0.95854583,3.684,3.25376678,17-2
C53938235,2019,,0.902165,0.94416666,,0.9095,,0.86545,0.90532041,3.363,2.96231556,17-2
